machine_id,total_cycles,total_failures,failure_rate,avg_rul
1,192,54,28.13,95.5000
2,287,49,17.07,143.0000
3,179,48,26.82,89.0000
4,189,55,29.10,94.0000
5,269,50,18.59,134.0000
6,188,44,23.40,93.5000
7,259,41,15.83,129.0000
8,150,59,39.33,74.5000
9,201,48,23.88,100.0000
10,222,47,21.17,110.5000
11,240,54,22.50,119.5000
12,170,53,31.18,84.5000
13,163,46,28.22,81.0000
14,180,52,28.89,89.5000
15,207,48,23.19,103.0000
16,209,60,28.71,104.0000
17,276,57,20.65,137.5000
18,195,47,24.10,97.0000
19,158,47,29.75,78.5000
20,234,47,20.09,116.5000
21,195,51,26.15,97.0000
22,202,47,23.27,100.5000
23,168,50,29.76,83.5000
24,147,44,29.93,73.0000
25,230,46,20.00,114.5000
26,199,52,26.13,99.0000
27,156,51,32.69,77.5000
28,165,51,30.91,82.0000
29,163,53,32.52,81.0000
30,194,51,26.29,96.5000
31,234,59,25.21,116.5000
32,191,56,29.32,95.0000
33,200,49,24.50,99.5000
34,195,52,26.67,97.0000
35,181,52,28.73,90.0000
36,158,54,34.18,78.5000
37,170,57,33.53,84.5000
38,194,51,26.29,96.5000
39,128,51,39.84,63.5000
40,188,50,26.60,93.5000
41,216,56,25.93,107.5000
42,196,55,28.06,97.5000
43,207,51,24.64,103.0000
44,192,57,29.69,95.5000
45,158,55,34.81,78.5000
46,256,54,21.09,127.5000
47,214,55,25.70,106.5000
48,231,52,22.51,115.0000
49,215,54,25.12,107.0000
50,198,51,25.76,98.5000
51,213,50,23.47,106.0000
52,213,55,25.82,106.0000
53,195,49,25.13,97.0000
54,257,57,22.18,128.0000
55,193,53,27.46,96.0000
56,275,50,18.18,137.0000
57,137,54,39.42,68.0000
58,147,51,34.69,73.0000
59,231,50,21.65,115.0000
60,172,52,30.23,85.5000
61,185,49,26.49,92.0000
62,180,56,31.11,89.5000
63,174,48,27.59,86.5000
64,283,54,19.08,141.0000
65,153,55,35.95,76.0000
66,202,54,26.73,100.5000
67,313,49,15.65,156.0000
68,199,52,26.13,99.0000
69,362,48,13.26,180.5000
70,137,55,40.15,68.0000
71,208,61,29.33,103.5000
72,213,59,27.70,106.0000
73,213,59,27.70,106.0000
74,166,56,33.73,82.5000
75,229,57,24.89,114.0000
76,210,56,26.67,104.5000
77,154,53,34.42,76.5000
78,231,51,22.08,115.0000
79,199,52,26.13,99.0000
80,185,52,28.11,92.0000
81,240,55,22.92,119.5000
82,214,56,26.17,106.5000
83,293,51,17.41,146.0000
84,267,52,19.48,133.0000
85,188,53,28.19,93.5000
86,278,56,20.14,138.5000
87,178,57,32.02,88.5000
88,213,51,23.94,106.0000
89,217,51,23.50,108.0000
90,154,52,33.77,76.5000
91,135,47,34.81,67.0000
92,341,48,14.08,170.0000
93,155,49,31.61,77.0000
94,258,49,18.99,128.5000
95,283,50,17.67,141.0000
96,336,52,15.48,167.5000
97,202,53,26.24,100.5000
98,156,52,33.33,77.5000
99,185,54,29.19,92.0000
100,200,47,23.50,99.5000
